stateAbbr,placeName,population2010,noHealthInsurance,highBP,asthma,smoker,noLeisureExercise,obeese,sleepDeprived
CA,Alameda,73812,8.8,23.6,8.4,11.3,16.4,19.7,33.7
CA,Alhambra,83089,14.4,24.8,7.2,11.4,21.9,17.8,38
CA,Anaheim,336265,17.1,28.4,8.3,13.5,22.6,23,33.7
CA,Antioch,102372,13.8,27.2,9.7,15.1,21.8,27.5,35.4
CA,Apple Valley,69135,13.7,29.3,9.6,17,24.9,31.1,38.5
CA,Bakersfield,347483,16.8,31.3,9.6,16.6,25.6,29.5,36.9
CA,Baldwin Park,75390,23.2,26.7,8.2,13.4,25.9,25.6,37.4
CA,Bellflower,76616,17.5,27.5,9.1,14.2,23.2,25.9,37.8
CA,Berkeley,112580,7.7,24.6,8.7,10.8,15.5,22.6,32.5
CA,Buena Park,80530,14.5,28,7.9,12.8,21.6,20.9,34.1
CA,Burbank,103340,10.3,23.9,8.7,12.3,17.6,21.8,34
CA,Carlsbad,105328,7,24.6,8.3,10.2,13.9,19.9,30.2
CA,Carson,91714,15.4,27.4,8.7,12.4,21.5,23.4,38.8
CA,Chico,86187,9.8,27.6,9.7,15.9,20.8,27.5,33.4
CA,Chino,77983,15.9,27.4,8.4,13.4,23.6,28.2,37.4
CA,Chino Hills,74799,9.8,24.3,7.3,9.8,18.6,21.7,36.1
CA,Chula Vista,243916,16.3,28.4,8.2,12.5,21.4,24.1,34.1
CA,Citrus Heights,83301,10.6,29.2,10.7,16,20.8,30.7,35.6
CA,Clovis,95631,11.4,27.1,9.6,14,20.2,26.3,33.4
CA,Compton,96455,24.5,34.1,10.8,17.7,29.3,33.6,41.4
CA,Concord,122067,12.4,24.3,9,13.2,19,24.5,33.1
CA,Corona,152374,14.5,28.4,8.5,13.9,21.6,26.8,37.6
CA,Costa Mesa,109960,12.7,27.3,8.5,13,19.4,22.3,31.7
CA,Daly City,101123,11.6,26.4,7,10.4,20.3,17.2,34.9
CA,Downey,111772,18.5,25.4,8.4,12.2,21.9,25.1,35.5
CA,El Cajon,99478,14.4,31,9.8,18,23.2,27.3,35.3
CA,Elk Grove,153015,10,28.1,9.5,12.2,19.2,25.8,36.3
CA,El Monte,113475,24.9,28.5,8.4,15.8,29,25.2,39.3
CA,Escondido,143911,17.2,29.4,9.1,15.4,22.6,25.8,34.5
CA,Fairfield,105321,13,29.5,9.6,14.9,22,28,37.4
CA,Folsom,72203,8.7,26.2,9.2,11.4,16.1,25.4,33.1
CA,Fontana,196069,19.4,29.2,8.7,14.2,26.6,31,38.7
CA,Fremont,214089,8.6,22.4,7.2,9.2,15.6,16.5,34
CA,Fresno,494665,18.7,31.2,10,16.8,26.8,31.2,36.5
CA,Fullerton,135161,12.6,26.9,7.9,11.9,19.5,20.5,32.7
CA,Garden Grove,170883,16.3,28.7,7.8,13.9,23.8,19.9,35.6
CA,Glendale,191719,10.8,24.8,9,13.8,19.2,22,34.9
CA,Hawthorne,84293,18.4,30,9.7,14.8,24.4,28.7,39.2
CA,Hayward,144186,15.1,26.7,8.8,13.5,21.2,24.5,36.5
CA,Hemet,78657,17,31.7,9.8,18.9,26.2,31.4,39.8
CA,Hesperia,90173,17.9,30.4,9.5,17.9,28.1,33,39.1
CA,Huntington Beach,189992,9.1,25.5,8.3,11.8,16.6,20,30.8
CA,Indio,76036,21.5,30.3,8.8,15.8,26.1,31,38.5
CA,Inglewood,109673,19.5,33,10.6,15.5,25.4,31.9,40.7
CA,Irvine,212375,7.2,24.5,7.3,9.1,15.4,16.1,31.1
CA,Lake Forest,77264,9.4,25.4,8.1,10.8,16.5,19.6,30.6
CA,Lakewood,80048,11.8,24.5,8.6,12.3,18.5,21.8,35.7
CA,Lancaster,156633,16.4,29.7,10,16.9,24.3,28.6,38.4
CA,Livermore,80968,9.3,23.4,8.8,12.2,16.1,22.4,32.2
CA,Long Beach,462257,15.7,27.1,9.2,14,21.9,25.2,37.1
CA,Los Angeles,3792621,17.4,27.1,9,13.9,22.7,25.6,36.6
CA,Lynwood,69772,27.6,30.7,9.8,16.5,29.9,31.8,39.1
CA,Manteca,67096,14.6,27.6,9.4,15.5,23.7,30.6,34.9
CA,Menifee,77519,13.2,28.5,9,15.1,21.2,27.3,37.9
CA,Merced,78958,19.3,32.5,9.7,18,28.8,30.9,37.6
CA,Milpitas,66790,10.2,25,6.7,9.6,17.8,15.3,33.5
CA,Mission Viejo,93305,8.2,24.5,8.2,10.7,15.1,19.1,29.9
CA,Modesto,201165,14.9,28.6,9.6,16.6,23,26.1,36.3
CA,Moreno Valley,193365,18.5,31.9,9.3,16.1,25.6,31,40.5
CA,Mountain View,74066,8,23.8,7.5,8.7,14.4,18.5,29.5
CA,Murrieta,103466,10.7,27.3,8.7,13.7,19.1,25.3,37
CA,Napa,76915,13.3,26.6,9.2,13.7,19.7,26.4,33
CA,Newport Beach,85186,5.7,23.5,8,9,12.9,18.1,28.2
CA,Norwalk,105549,19.9,26.4,8.4,13.2,23.7,25.3,36.8
CA,Oakland,390724,13.8,29.3,9.7,14.2,21.4,26.7,37
CA,Oceanside,167086,13.2,28.4,8.9,14,19.8,24.3,33.7
CA,Ontario,163924,20,29.1,8.7,14.5,27,31.4,38.5
CA,Orange,136416,12.9,26.8,8.3,12.5,19.2,21.6,31.9
CA,Oxnard,197899,22.1,30.4,8.9,14.8,26.1,26.6,36.7
CA,Palmdale,152750,19.4,28.8,9.8,16.1,25.1,28.4,38
CA,Pasadena,137122,11.9,24.9,8.5,11.2,18.1,22.5,34.5
CA,Perris,68386,22.7,32.8,9.2,16.8,28.6,33,40.8
CA,Pleasanton,70285,6.8,21.7,8,9.3,13.6,18.7,31.1
CA,Pomona,149058,21.8,28.3,9,14.7,25.7,27.7,37.7
CA,Rancho Cucamonga,165269,11.2,26.2,8.4,12,20.1,26.5,36.3
CA,Redding,89861,9.6,28.2,10,17.5,20,27.3,32.5
CA,Redlands,68747,11.6,26.4,8.7,13.1,21,27.3,35.9
CA,Redondo Beach,66748,6.9,21.6,8.2,9.4,13.6,18.9,31.7
CA,Redwood City,76815,12.6,26.1,8.3,11.2,18.6,22.9,31.2
CA,Rialto,99171,21,31.1,9.4,15.6,28.5,33.7,39.9
CA,Richmond,103701,16.7,29.3,9.9,14.8,23.6,28.9,37
CA,Riverside,303871,16.6,29.7,8.9,15.3,23.5,28.9,38.6
CA,Roseville,118788,8.5,25.6,9.1,12.6,16.4,21.6,31.2
CA,Sacramento,466488,13.4,31.2,10.2,14.9,23.2,30.7,37.7
CA,Salinas,150441,24.3,30,9.2,16.4,27.9,27.6,34.8
CA,San Bernardino,209924,22.4,33.3,9.8,18.7,32,36,41.1
CA,San Buenaventura (Ventura),106433,11.6,27.1,9,13.2,18.8,23,33.5
CA,San Diego,1307402,11.7,27.8,8.3,12.3,18.6,22.4,33.2
CA,San Francisco,805235,9.2,25.2,7.8,11.3,16.8,17.9,30.3
CA,San Jose,945942,12.6,26,7.8,11.1,18.8,20.1,32.5
CA,San Leandro,84950,13.4,26.4,8.7,13.5,20.7,22.8,36.4
CA,San Marcos,83781,13,27.6,8.7,13.2,19.3,23.2,33.2
CA,San Mateo,97207,10.5,25.8,8.1,10.7,17.8,21.1,31.5
CA,San Ramon,72148,6.2,20.7,7.7,8.1,13.3,17.5,30.6
CA,Santa Ana,324528,24.8,30.8,8.5,15.3,27.8,26.3,35.2
CA,Santa Barbara,88410,12.2,25.3,8.7,12.2,18.3,26.5,27.7
CA,Santa Clara,116468,8.7,24.4,7.5,9.4,15.8,17.9,31
CA,Santa Clarita,176320,11.3,23.7,8.7,12.2,17.5,22.1,34
CA,Santa Maria,99553,24.2,29.5,9.5,17.1,27.6,31.9,31.6
CA,Santa Monica,89736,7.1,22.4,8.5,9.7,14.2,20.1,31.6
CA,Santa Rosa,167815,12.3,24.5,9.4,13.8,19,25.6,33.9
CA,Simi Valley,124237,10.2,26.3,8.8,12.8,17.9,21.2,33.5
CA,South Gate,94396,27.8,28.1,9,14.8,28.4,29.8,37.2
CA,Stockton,291707,18.1,30.3,9.4,16.3,27.7,31.7,37.6
